date,sales,split,pred_tree,id,pred_seq,rolling_cv_14,trend_accel,has_event,snap_active,volatile_regime,disagreement_raw,disagreement_norm,alpha_optimal,alpha_tree_gate,alpha_seq_gate,pred_learned_fusion,pred_fixed_60_40
2016-02-29,0,val,0.0734317847990047,FOODS_1_004_CA_1_validation,0.18825293,0.0,0.0,0,0,0,0.11482114520099532,0.028413569864432157,0.0,0.45291853427457707,0.5470814657254229,0.13624830521183684,0.11936024287940283
2016-03-01,0,val,0.3203373042537504,FOODS_1_004_CA_1_validation,0.15924263,0.0,0.0,0,1,0,0.1610946742537504,0.03986438886046923,0.0,0.16770541413094042,0.8322945858690596,0.18625907906001415,0.2558994345522502
2016-03-02,0,val,0.3203373042537504,FOODS_1_004_CA_1_validation,0.1468556,0.0,0.0,0,1,0,0.1734817042537504,0.0429296756741629,0.0,0.16882585810022463,0.8311741418997753,0.1761437975853288,0.25094462255225025
2016-03-03,0,val,0.3003714381801057,FOODS_1_004_CA_1_validation,0.16492534,0.0,0.0,0,1,0,0.1354460981801057,0.0335174080241782,0.0,0.1654077816849541,0.8345922183150459,0.18732917863785378,0.2461929989080634
2016-03-04,0,val,0.5598514717721454,FOODS_1_004_CA_1_validation,0.17309713,0.0,0.0,0,1,0,0.38675434177214546,0.09570599118375689,0.0,0.18924571615492616,0.8107542838450739,0.24628873238469673,0.4051497350632873
2016-03-05,0,val,0.636821923327684,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.4618605933276839,0.11429173793008363,0.0,0.19695735923182653,0.8030426407681734,0.2659281727950652,0.45207768599661036
2016-03-06,0,val,0.6122606849902721,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.43729935499027206,0.10821382902022743,0.0,0.19440508602951026,0.8055949139704898,0.25997454872753323,0.4373409429941632
2016-03-07,0,val,0.3547596370541845,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.1797983070541845,0.044492778312286096,0.0,0.16939993309592993,0.8306000669040701,0.20541915118574033,0.2828403142325107
2016-03-08,0,val,0.3203373042537504,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.1453759742537504,0.03597464904080248,0.0,0.16629374545072295,0.833706254549277,0.19913644525720403,0.26218691455225024
2016-03-09,0,val,0.3203373042537504,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.1453759742537504,0.03597464904080248,0.0,0.16629374545072295,0.833706254549277,0.19913644525720403,0.26218691455225024
2016-03-10,0,val,0.3003714381801057,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.1254101081801057,0.031033908120701618,0.0,0.16451691357320017,0.8354830864267998,0.19559341392867213,0.25020739490806343
2016-03-11,0,val,0.4016371350145962,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.2266758050145962,0.05609305508218185,0.0,0.47065447160589663,0.5293455283941033,0.28164731123498604,0.3109668130087577
2016-03-12,0,val,0.4556882911651169,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.28072696116511686,0.06946852088900467,0.0,0.47927423351203574,0.5207257664879643,0.30950652913857446,0.3433975066990701
2016-03-13,0,val,0.4311270528277046,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.25616572282770456,0.06339061197914836,0.0,0.4753539724652115,0.5246460275347885,0.29673072395557165,0.3286607636966227
2016-03-14,0,val,0.1161271383827683,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.058834191617231704,0.014559072817182727,0.0,0.44410480281835446,0.5558951971816455,0.14883278293285201,0.139660815029661
2016-03-15,0,val,0.0817048055823339,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.0932565244176661,0.02307720208866642,0.0,0.44951813663221285,0.5504818633677871,0.13304083091497426,0.11900741534940035
2016-03-16,0,val,0.0817048055823339,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.0932565244176661,0.02307720208866642,0.0,0.44951813663221285,0.5504818633677871,0.13304083091497426,0.11900741534940035
2016-03-17,0,val,-0.0742872488796963,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,1,0,0,0.24924857887969631,0.06167889979856507,0.0,0.9712729097562218,0.028727090243778175,-0.06712706246108581,0.025412182672182225
2016-03-18,0,val,0.4016371350145962,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.2266758050145962,0.05609305508218185,0.0,0.47065447160589663,0.5293455283941033,0.28164731123498604,0.3109668130087577
2016-03-19,0,val,0.4556882911651169,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.28072696116511686,0.06946852088900467,0.0,0.47927423351203574,0.5207257664879643,0.30950652913857446,0.3433975066990701
2016-03-20,0,val,0.4311270528277046,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.25616572282770456,0.06339061197914836,0.0,0.4753539724652115,0.5246460275347885,0.29673072395557165,0.3286607636966227
2016-03-21,0,val,0.1161271383827683,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.058834191617231704,0.014559072817182727,0.0,0.44410480281835446,0.5558951971816455,0.14883278293285201,0.139660815029661
2016-03-22,0,val,0.0817048055823339,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.0932565244176661,0.02307720208866642,0.0,0.44951813663221285,0.5504818633677871,0.13304083091497426,0.11900741534940035
2016-03-23,0,val,0.0817048055823339,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.0932565244176661,0.02307720208866642,0.0,0.44951813663221285,0.5504818633677871,0.13304083091497426,0.11900741534940035
2016-03-24,0,val,-0.0742872488796963,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,1,0,0,0.24924857887969631,0.06167889979856507,0.7000000000000001,0.9712729097562218,0.028727090243778175,-0.06712706246108581,0.025412182672182225
2016-03-25,0,val,0.4016371350145962,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.2266758050145962,0.05609305508218185,0.7000000000000001,0.47065447160589663,0.5293455283941033,0.28164731123498604,0.3109668130087577
2016-03-26,0,val,0.4556882911651169,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.28072696116511686,0.06946852088900467,0.7000000000000001,0.47927423351203574,0.5207257664879643,0.30950652913857446,0.3433975066990701
2016-03-27,0,val,0.0795153057992204,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,1,0,0,0.09544602420077959,0.023619014356317577,0.7000000000000001,0.9692959620565593,0.030704037943440676,0.0824458841478317,0.11769371547953225
2016-03-28,0,test,0.1161271383827683,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.058834191617231704,0.014559072817182727,0.0,0.44410480281835446,0.5558951971816455,0.14883278293285201,0.139660815029661
2016-03-29,0,test,0.0817048055823339,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.0932565244176661,0.02307720208866642,0.0,0.44951813663221285,0.5504818633677871,0.13304083091497426,0.11900741534940035
2016-03-30,0,test,0.0817048055823339,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.0932565244176661,0.02307720208866642,0.0,0.44951813663221285,0.5504818633677871,0.13304083091497426,0.11900741534940035
2016-03-31,0,test,0.0617389395086892,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,0,0,0.1132223904913108,0.028017943008767275,0.0,0.4526662053106917,0.5473337946893083,0.123709380140093,0.10702789570521352
2016-04-01,0,test,0.5749403188941453,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.3999789888941453,0.09897855421450906,0.0,0.1905835766830795,0.8094164233169205,0.25119075630152793,0.4149487233364872
2016-04-02,0,test,0.636821923327684,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.4618605933276839,0.11429173793008363,0.0,0.19695735923182653,0.8030426407681734,0.2659281727950652,0.45207768599661036
2016-04-03,0,test,0.6122606849902721,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.43729935499027206,0.10821382902022743,0.0,0.19440508602951026,0.8055949139704898,0.25997454872753323,0.4373409429941632
2016-04-04,0,test,0.3698484841761843,FOODS_1_004_CA_1_validation,0.17496133,0.0,0.0,0,1,0,0.19488715417618432,0.04822665512673683,0.0,0.17077871870849073,0.8292212812915093,0.20824390848295285,0.2918936225057106
